text,label,domain,batch
"oh wow i didnt know that, super helpful!",POSITIVE,general_knowledge,0
"That answered exactly what I was looking for, thanks.",POSITIVE,general_knowledge,0
"Makes total sense now, I was overthinking it.",POSITIVE,general_knowledge,0
"Didn't expect that, really good to know.",POSITIVE,general_knowledge,0
"I get it now, thanks for explaining so clearly.",POSITIVE,general_knowledge,0
"No that's not right, I looked it up and got a different answer.",NEGATIVE,general_knowledge,0
This is confusing and doesn't actually answer my question.,NEGATIVE,general_knowledge,0
You gave me two contradictory facts in the same response.,NEGATIVE,general_knowledge,0
Ok. What about the population of the same country in 1990?,NEUTRAL,general_knowledge,0
Got it. Is that the same for all regions or just some?,NEUTRAL,general_knowledge,0
Can you give me a source for that?,NEUTRAL,general_knowledge,0
What's the unit used to measure that?,NEUTRAL,general_knowledge,0
So does that mean it's not common anymore?,NEUTRAL,general_knowledge,0
"Wait, are there any exceptions to that rule?",NEUTRAL,general_knowledge,0
How does that compare to other countries?,NEUTRAL,general_knowledge,0
Is that the most common way to do it?,NEUTRAL,general_knowledge,0
Can you clarify that part again?,NEUTRAL,general_knowledge,0
So it's not actually true then?,NEUTRAL,general_knowledge,0
What's the exact date of that event?,NEUTRAL,general_knowledge,0
Is there any other information about that?,NEUTRAL,general_knowledge,0
So that's the main reason for it?,NEUTRAL,general_knowledge,0
Are there any other examples of that?,NEUTRAL,general_knowledge,0
"That's exactly what I needed, thanks!",POSITIVE,general_knowledge,1
That's a really incomplete answer tbh.,NEGATIVE,general_knowledge,1
"This isn't helpful at all, just wasting time.",NEGATIVE,general_knowledge,1
So that's the main reason it's considered a landmark?,NEUTRAL,general_knowledge,1
Does that apply to other similar places too?,NEUTRAL,general_knowledge,1
Is there any other notable fact about it?,NEUTRAL,general_knowledge,1
So that's the official name then?,NEUTRAL,general_knowledge,1
Was that the most recent record?,NEUTRAL,general_knowledge,1
How long has that been the case?,NEUTRAL,general_knowledge,1
"That's so cool, I love learning new stuff!",POSITIVE,general_knowledge,1
You explained it better than my teacher did!,POSITIVE,general_knowledge,1
That's exactly what I was wondering about!,POSITIVE,general_knowledge,1
"I was stuck on that, thanks for clearing it up!",POSITIVE,general_knowledge,1
"I'm glad you clarified that, makes it easier to understand.",POSITIVE,general_knowledge,2
"This is so frustrating, I need a clear answer.",NEGATIVE,general_knowledge,2
So does that mean it's the most populated city in the world?,NEUTRAL,general_knowledge,2
"Wait, does that include all areas or just the city limits?",NEUTRAL,general_knowledge,2
I see. Are there any exceptions to that rule?,NEUTRAL,general_knowledge,2
Could you explain that again more clearly?,NEUTRAL,general_knowledge,2
So that's the main reason it's considered a world record?,NEUTRAL,general_knowledge,2
What's the difference between that and another similar fact?,NEUTRAL,general_knowledge,2
"That's exactly what I needed, thanks for the help!",POSITIVE,general_knowledge,2
"I was stuck on this, but now it's all clear.",POSITIVE,general_knowledge,2
"You really nailed it, I'm impressed.",POSITIVE,general_knowledge,2
This is the kind of answer I was hoping for.,POSITIVE,general_knowledge,2
"You got it right, I was second-guessing myself.",POSITIVE,general_knowledge,3
"I didn't think of it that way, makes sense now.",POSITIVE,general_knowledge,3
"That's not what I asked, why are you talking about that?",NEGATIVE,general_knowledge,3
You explained it better than my teacher ever did.,POSITIVE,general_knowledge,3
"This is way too vague, I need more details.",NEGATIVE,general_knowledge,3
So does that mean it's still relevant today?,NEUTRAL,general_knowledge,3
What's the difference between the two versions?,NEUTRAL,general_knowledge,3
