sentence,sentiment
"That’s exactly what I needed, thanks!",POSITIVE
This is the best explanation I've seen yet.,POSITIVE
"I get it now, thanks for the clear explanation.",POSITIVE
"That makes so much sense now, thanks!",POSITIVE
Is there a way to measure this in real time?,NEUTRAL
"You made that complicated rule sound so simple, thanks.",POSITIVE
"That's not accurate, I've seen better info.",NEGATIVE
"I was stuck on this, now it’s clear.",POSITIVE
"I was lost before, now I feel confident.",POSITIVE
What's the role of a defense attorney in this case?,NEUTRAL
"You nailed it, that’s exactly what I was looking for!",POSITIVE
Does it matter if the device is rooted?,NEUTRAL
What about if the user has a 3G connection?,NEUTRAL
What's the minimum energy required for this to happen?,NEUTRAL
What happens if a clause is ambiguous?,NEUTRAL
Can it be used with older devices too?,NEUTRAL
Could you list the steps in order again?,NEUTRAL
Did that leader have any notable allies?,NEUTRAL
What are the limitations of this theory?,NEUTRAL
"This is a game-changer, really!",POSITIVE
You're making this more complicated than it needs to be.,NEGATIVE
"This is completely wrong, I can't believe it.",NEGATIVE
"That's such a cool fact, I love it!",POSITIVE
This helped me understand it better than my teacher.,POSITIVE
That’s the clearest answer I’ve ever heard!,POSITIVE
Is this process reversible under normal conditions?,NEUTRAL
"This is way too simple, I expected more details.",NEGATIVE
"You made that complicated rule sound simple, thanks.",POSITIVE
"Please explain this properly, I'm stuck.",NEGATIVE
Are there any safety concerns with this process?,NEUTRAL
"This code doesn't work in Python 3, did you check the version?",NEGATIVE
"I can finally explain this to my friend now, thanks!",POSITIVE
"This is wrong, I've checked it multiple times.",NEGATIVE
This is way better than the last explanation I got.,POSITIVE
Does the court have to hear all parties involved?,NEUTRAL
Is this a common occurrence in nature?,NEUTRAL
"That’s not helpful at all, I need real steps.",NEGATIVE
"You really broke it down, I get it now.",POSITIVE
What about if the file is corrupted?,NEUTRAL
What's the minimum requirement for that to happen?,NEUTRAL
How does that compare to chemical bonding?,NEUTRAL
How does it compare to other methods?,NEUTRAL
"I wish I had known this earlier, so helpful.",POSITIVE
